Múcaria úngí ndamwagaga
Múndú úgúthúire no ota múrogi
Ngai ní wendo
Raúú ndúnoragwo hatarí nyama
Cira wa múici ndútwaragwo kíharo
Nyúmba nyinyi íciraga útukú
Múti wa múrúri ndwakaga
Múka mwerú ní magambo
Múteng'erania na múteng'erio gutirí utahúmaga
Mwíhítí na mwana ní útamúrí
Woni wí njací na wagi wí matarania
Úkúrú ndugaga mbu
Ihenya ría múkúrú ní kwengeya
Úhoro wa maitho ti wa rúthiomi
Múndú múúgí ndarí míhere ya úhoro
Kwaria ti gútua ciira
Kuga mbúri ní noru ti kúga íthínjwo
Kwaria ní kwendana
Kwa mwendwa gútirí kíríma
Kúmatha gútirí hinya ta kúramata
Múndú múkarí oimaga úhúnií
Gútirí múnini múkía
Mbúri noru ígúragírwo gícegú
Úkúrú úríaga wíthí
Gúciara ní kwí enda
Njamba nyinyi ndínyakagwo
Wagi ndúmenanagírwo
Útarí nímúigíre níúndú indo ní Ngai úheanaga
Kagúrú keime gakíríte ke múhuu
Indo itionagwo ní ithayo
Mbúri imenyanagíra múnyúiní
Múndú wí kíyo ndarí karo gatuhu
Múcií wí inooro ndútuhagia túhiú
Mwendi kagwací gatundu níkwenjera
Cia thúgúrí itihúragia ikúmbí
Njúgúma njega yumaga ikúríro na ikúrírwo
Yenda múno íkúraga rúríra
Mwana mwega ní nda
Yaciara mathathatú yongithagio ní mwene
Wona ciene waruta ndúngúrú, wona ciaku wacokia ndúngúru
Werú úgúthogoranírwo ndúagaga rúitíki
Úthuuri wa kanua úkíríte wa míaka
Macemanirie wairigi na waithiúrúra
Úthayo na ng'aragu ní múndú na múrú wa nyina
Múndú útarí gíake ndarí ngoro
Útana wa ng'ía úragíra ngoro
Útamerithítie ndaigaga kígína thíí
Útamerithítie ndatigaga kúhanda
Húngú ígíthií igúrú ndíatigire thíí kwína mwago
Gútirí nyoni njega mwereiní
Wega umaga namúcií
Utana ní mítúkí
Útakua níathiaga úgeni
Kínya kírí itina níkío kíigaga
Múgúnda múkúrú úrí umatho
Ciathanaga ikígua no ikíúmbúka itikoragwo hamwe
Gútirí wa nda na wa múgongo
Maí matarí maku makúhetúkaga úgítua irútú
Mbarí ya ng'eka makorirwo matarí meka
Kúhoha ti kúúma
Gútirí ngware nini mahuriainí
Gútirí ngware írí mbico gwakía
Gútirí írí múkanye íkanyagíra íría íngí
Cía múcií ti chomo
Mútiga mwahú akoraga igima
Múthii ndaúmbíkaga irigú
Kíírí ngoro gítihotanaga
Mwarí múthaka ageragíra thome wa ngía
Mwana múciare ndateagwo
Kahíí gakúrú kahana ithe
Ngai ndarí thome atoí
Kwa mwaria gúkíúra kwa múkiri kworire tene
Mbúri ngúrú ndítihaga túhú
Mwana kírimú atúragia ithe na kíeha
Mwana múúgi atúragia nyina na gíkeno
Kanua karía karíaga rútú noko karíaga nyama
Múchang'ang'o úrehaga múkindírio
Ona múrío níwíríagíra
Mwere mwega umenyagwo na ng'etho
Mbara ndírí mwago
Rúrímí rwendagia kíongo
Múharwo níwe úthingataga gíthaka
Útarí gíake ndarí ngoro
Ya kúheo ndíroragwo magego
Mútahírwo ndamenyaga igíthira
Ya kúhía íhíaga na ma mbere
Múcemi akorire múkungi
Gítoí kímenyaga kíerwo
Múthií na rúí egwatagíríra mareru
Múthicírwo kahúainí ndagaga mbúni itina
Gútirí kíega kiumaga hega
Kíega gíkúrú no kíratina
Karonda ka mwene gatimúiragia ngoro
Múitumia múthaka ní magambo
Rúrigi rwí nja rútiagaga gía kuoha
Kíara kímwe gítiúragaga ndaa
Múrími úmwe ndaihúragia ikúmbí
Indo ciene itirí ndokeirwo núú
Kíero ní wúimbo ní úimbúkaga
Gútirí wítemaga agítemera úngi
Gútirí múndúrúme nyina wa úria úngí
Ndindíko ní írí magúrú
Iríaga na mbugi ona kwína úgwati
Útarí ní muigíre
Kionje kírumaga múhiúhia
Mútí múnene ndúhítúkagwo ní nyoni
Mútí útarí matunda ndúikagírio mahiga
Mwana ní kírathimo
Mícíí ní ndogo
Múka mwerú na múirú bata ní kwíhokana
Kamau mwerú ní airaga
Mûtúri múno ndagaga
Úgí úrí mbere ya hinya
Múrimú ndúrí njamba
Ngai ateithagia wíteithítie
Wa kúra ndatúngaga wa ndúgú
Gúthekererwo ní andú ti kúrírírwo ní hiti
Mbara ya andú erí mendaine iteithúragwo na míario
Mathanwa me kiondo kímwe matiagaga gúkomorania
Múheria ngía ndagiragia gúkíe
Múremwo ní ndúgo egwatagia nja írí na mahiga
Kíonje kírumaga múhiúhia
Kírimú no ta mwatú
Kíenjagwo mwene oiga
Ihenya rínene riunaga gíkwa ihatha
Gútirí múici na múcúthaníríria
Gícigo kía múgúnda gítinyihaga
Kúira nguraro ní kúimbírwo
Gúkúra ní kúru ngathií úrírí ngícayaga
Cira wa mwega úcirwo ta wa múru
Kíhoto kiunaga uta múgete
íkúrúndwo ndíregaga ruoro
imenyanaga na gírima
Íri gúkúra ndírí mwíroreri
Ng'ombe ngúrú ínyuaga munju kana iria ingí cianyua
Itherú inene riumaga mbara
Kíriganíro no ta útúrika
Mwana múúgí ní ithaga ría ithe
Múrimú wa múcoka níguo úríaga múndú
Ndúgú ní makinya
Gúkungagwo útukú ti múthenya
Riúa rítietagíríra múthamaki
Rúrí kuuma njora rúticokaga túhú
Rúrigi rwetagíríria múndú kamúkwa
irí gúthua ndongoria itikinyagíra nyeki
Njohi (ti njoohi) ya mwana ndírí nyagacú kana múka múhunyúku
ítunyagwo mbúí ní gúciara
igwa njíthí itirí njohi
Kanua karía karíaga mbeú noko koragia ng'ahanda kí
Matigana nomo moranwo
Cira múnene ní wa úthoni úgíkua
Gútirí múndú útangítuíka wa ndigwa
Mwítemengeri ndoragia ikíhooha
Kamamíríria gateire múgúnda múríme
Múihwa ndaimagwo rúnyeni
Ndonga ímwe ndíhingaga iriúko
Thiirí ndúríhagwo ní gwítio wítagio
Ya gwíthuríra (nyama, múka wa kwíyendera) ndírí gíthengenywa kana ihíndí
Mútirima wa karimú wítirimagia na múúgi
Tha cia arúme itirí iria
Gútirí mwana wa nda na wa múgongo
Múkui ndaiguaga ciígamba
ithe wa thaka ndarí matu
Mbía íninaga ndarwa na igutha
Matumbí ma njamba matitúranaga
Kúría múno ní kworia nda
Kíere kía njírainí gítigwatagwo ní muura
Múhúúnu etaga múhútu múkoroku
Ndíthúire múúmíoni ta múmíaníríri
Útarí ndetagwo ndundu
Ruuo rúríaga mwene
Kumagara ní kúhíga
Kúhúúna na kúhúúta ititiganaga
Rúkú rúrí itara rúthekagíríra rwí riiko
Gakííoha níko koí úría karííinia
Mwendi úthaka ndacayaga
Múnyaka úrí mbere ya kahinga
Gútirí úciaragwo arí múúgí
Gútirí úndú útarí kíhumo
Útarí kondo arí kagara
Ruuo rútiguanagírwo
Rútemaga mwenji
Kahiú kohíga múno gatemaga mwene
Maheni marí mútino
Kwígita ti guoya
Úthoni úragíra njogu
Hiti cia kúraihu (kúraya) itihinyagia mahíndí
Ndaa ní kírimú
Nga'ragu ya matukú maingí íninagwo na rwíga rúmwe
Ngarí ndítunyagwo mara mayoo
indo irí gíkúyúiní itirí úkabi
Yanjagio maíí ní ihíí nyene
Gútirí múndú wíiganagia
Kana na ngarí gakunyaga ta nyina
Kíhíí kíruu gítihikaga na nyina
Ngai ti ta múndú we ní agomanítie
Gícegú kía andú aingí tí kíega
Gíthúmba gítirí múrimú wa ngoro na ní gítongaga
Kíhíí gíkúrú no ta ithe
Mwabírírio múúru no wa itimú
Múruga nyúngú igírí ndagaga imwe ígúcura
Njamba ti ikere
Njúrúri ní njúrúraga
Wendani úkíríte gútonga
Gíathí kírí múrugírwo
Múndúrúme útarí kíndú ndarí mwene
Kahiga gakúrú gaiagararagwo ní maíí
Kuona kímera ti kúría
Mbura í kímera ndíhiúhaga
ituramaga igírí
Kíhíí kíría gíkúrú níkío kíene múcií
Andu me muoyo matiagaga wíra
Bata ndúbatabataga
Muikaranio níguo múbarano
Múriganio úrí thaa
Wa kíúnúhu ndagirigia wa kío agíe
